기준연월,여행유형/트렌드명,언급건수
202103,휴식/힐링,472
202103,레포츠,214
202103,기타,118
202103,체험,53
202103,미식,28
202104,휴식/힐링,612
202104,레포츠,370
202104,체험,150
202104,기타,123
202104,미식,31
202105,휴식/힐링,898
202105,레포츠,847
202105,체험,241
202105,기타,221
202105,미식,42
202106,휴식/힐링,860
202106,레포츠,661
202106,체험,422
202106,기타,208
202106,미식,40
202107,휴식/힐링,542
202107,레포츠,404
202107,기타,177
202107,체험,108
202107,미식,39
202108,레포츠,438
202108,휴식/힐링,426
202108,기타,123
202108,체험,109
202108,미식,66
202109,휴식/힐링,435
202109,레포츠,388
202109,기타,111
202109,체험,95
202109,미식,34
202110,휴식/힐링,762
202110,레포츠,750
202110,체험,146
202110,기타,118
202110,미식,39
202111,휴식/힐링,951
202111,레포츠,602
202111,기타,266
202111,체험,215
202111,미식,36
202112,휴식/힐링,825
202112,레포츠,595
202112,기타,206
202112,체험,91
202112,미식,52
202201,휴식/힐링,501
202201,레포츠,393
202201,기타,112
202201,체험,64
202201,미식,36
202202,레포츠,465
202202,휴식/힐링,460
202202,기타,199
202202,체험,65
202202,미식,51
202203,레포츠,613
202203,휴식/힐링,553
202203,기타,101
202203,체험,84
202203,미식,43
202204,휴식/힐링,524
202204,레포츠,349
202204,기타,84
202204,체험,77
202204,미식,48
202205,휴식/힐링,781
202205,레포츠,522
202205,기타,243
202205,체험,143
202205,미식,40
202206,휴식/힐링,652
202206,레포츠,513
202206,체험,188
202206,기타,170
202206,미식,45
202207,휴식/힐링,755
202207,레포츠,596
202207,기타,260
202207,체험,197
202207,미식,39
202208,레포츠,1101
202208,휴식/힐링,905
202208,기타,520
202208,체험,232
202208,미식,47
202209,휴식/힐링,1117
202209,레포츠,1094
202209,기타,377
202209,체험,308
202209,미식,46
202210,휴식/힐링,1001
202210,레포츠,841
202210,기타,336
202210,체험,174
202210,미식,55
202211,휴식/힐링,1050
202211,레포츠,844
202211,기타,187
202211,체험,179
202211,미식,25
202212,휴식/힐링,833
202212,레포츠,669
202212,기타,178
202212,체험,85
202212,미식,29
202301,레포츠,618
202301,휴식/힐링,616
202301,기타,160
202301,체험,81
202301,미식,31
202302,레포츠,560
202302,휴식/힐링,361
202302,기타,173
202302,체험,129
202302,미식,34
202303,레포츠,741
202303,휴식/힐링,689
202303,기타,182
202303,체험,107
202303,미식,27
202304,레포츠,1094
202304,휴식/힐링,926
202304,체험,582
202304,기타,256
202304,미식,23
202305,레포츠,1527
202305,휴식/힐링,1126
202305,체험,430
202305,기타,304
202305,미식,43
202306,레포츠,1012
202306,휴식/힐링,919
202306,기타,301
202306,체험,223
202306,미식,41
202307,레포츠,863
202307,휴식/힐링,737
202307,기타,254
202307,체험,103
202307,미식,34
202308,레포츠,1619
202308,휴식/힐링,1050
202308,체험,264
202308,기타,231
202308,미식,36
202309,휴식/힐링,1109
202309,레포츠,671
202309,기타,263
202309,체험,154
202309,미식,28
202310,휴식/힐링,1820
202310,레포츠,1123
202310,기타,418
202310,체험,325
202310,미식,41
202311,휴식/힐링,932
202311,레포츠,834
202311,기타,301
202311,체험,136
202311,미식,33
202312,휴식/힐링,1013
202312,레포츠,808
202312,기타,262
202312,체험,175
202312,미식,36
202401,레포츠,1284
202401,휴식/힐링,625
202401,기타,222
202401,체험,106
202401,미식,24
202402,휴식/힐링,662
202402,레포츠,591
202402,기타,287
202402,체험,266
202402,미식,65
202403,레포츠,1010
202403,휴식/힐링,645
202403,기타,491
202403,체험,195
202403,미식,25
