기준연월,숙박분류명,방문자수
202103,무박,427971
202103,1박,42068
202103,2박,12071
202103,3박이상,19516
202104,무박,367772
202104,1박,50672
202104,2박,14370
202104,3박이상,13225
202105,무박,446277
202105,1박,66638
202105,2박,17414
202105,3박이상,13002
202106,무박,398575
202106,1박,51491
202106,2박,14401
202106,3박이상,12741
202107,무박,416279
202107,1박,59997
202107,2박,18604
202107,3박이상,15688
202108,무박,427472
202108,1박,56938
202108,2박,20064
202108,3박이상,16787
202109,무박,464861
202109,1박,69490
202109,2박,26539
202109,3박이상,24321
202110,무박,512610
202110,1박,62649
202110,2박,17533
202110,3박이상,15391
202111,무박,447646
202111,1박,62836
202111,2박,17504
202111,3박이상,13113
202112,무박,368079
202112,1박,53921
202112,2박,14147
202112,3박이상,14068
202201,무박,374167
202201,1박,72348
202201,2박,24221
202201,3박이상,18872
202202,무박,339074
202202,1박,48796
202202,2박,10723
202202,3박이상,11560
202203,무박,390019
202203,1박,37436
202203,2박,11265
202203,3박이상,19255
202204,무박,377191
202204,1박,56946
202204,2박,16582
202204,3박이상,11365
202205,무박,453716
202205,1박,69245
202205,2박,20491
202205,3박이상,14971
202206,무박,417301
202206,1박,59944
202206,2박,16572
202206,3박이상,15301
202207,무박,501355
202207,1박,73352
202207,2박,22372
202207,3박이상,23149
202208,무박,472412
202208,1박,70563
202208,2박,22529
202208,3박이상,17810
202209,무박,505266
202209,1박,88632
202209,2박,30561
202209,3박이상,23320
202210,무박,695805
202210,1박,85792
202210,2박,22387
202210,3박이상,13996
202211,무박,449222
202211,1박,66809
202211,2박,18815
202211,3박이상,12486
202212,무박,357911
202212,1박,56519
202212,2박,15740
202212,3박이상,12503
202301,무박,415685
202301,1박,77322
202301,2박,30443
202301,3박이상,21879
202302,무박,359302
202302,1박,46615
202302,2박,11983
202302,3박이상,11311
202303,무박,459931
202303,1박,55626
202303,2박,15377
202303,3박이상,20052
202304,무박,432477
202304,1박,66154
202304,2박,16929
202304,3박이상,11170
202305,무박,489104
202305,1박,72270
202305,2박,22623
202305,3박이상,16160
202306,무박,430975
202306,1박,60237
202306,2박,14202
202306,3박이상,12061
202307,무박,440011
202307,1박,64485
202307,2박,18497
202307,3박이상,15421
202308,무박,453170
202308,1박,68344
202308,2박,20734
202308,3박이상,16909
202309,무박,504620
202309,1박,101728
202309,2박,36816
202309,3박이상,25179
202310,무박,599431
202310,1박,80202
202310,2박,20906
202310,3박이상,13562
202311,무박,450460
202311,1박,66948
202311,2박,17801
202311,3박이상,12068
202312,무박,393544
202312,1박,62825
202312,2박,19786
202312,3박이상,14623
202401,무박,410918
202401,1박,46582
202401,2박,12666
202401,3박이상,12442
202402,무박,408678
202402,1박,81361
202402,2박,31549
202402,3박이상,22984
202403,무박,508009
202403,1박,52128
202403,2박,13734
202403,3박이상,19094
